Year,VotingPop,District
2010,49222457,1
2010,52950898,2
2010,48689533,3
2010,47338034,4
2010,49539505,5
2010,55683747,6
2010,47734410,7
2010,51462376,8
2012,51140458,1
2012,50055167,2
2012,51443426,3
2012,51552168,4
2012,53712489,5
2012,49900239,6
2012,50464110,7
2012,51875477,8
2014,51221453,1
2014,51387046,2
2014,52253083,3
2014,53098696,4
2014,55749478,5
2014,50674016,6
2014,50893978,7
2014,52117341,8
2016,51775955,1
2016,52449774,2
2016,53739884,3
2016,53574961,4
2016,56363327,5
2016,52114656,6
2016,51038944,7
2016,52193495,8
